shortener,prolonger,n,seed,L,abs_L_over_n,L_times_logn_over_n,P_size,sum_inv_p,max_p_in_B,num_primes_in_B,sum_omega,log_log_n,ratio_to_loglog,wall_seconds
S_slp_odd,P_random,1000,9,185,0.185,1.2779347266116954,93,0.9622688952497711,997,76,129,1.9326447339160655,0.4979026296778052,0.0008331669960170984
S_slp_odd,P_random,10000,0,1250,0.125,1.151292546497023,625,0.7656757549907887,9973,605,778,2.2203268063678463,0.34484822360152034,0.010875667008804157
S_slp_odd,P_random,10000,1,1340,0.134,1.2341856098448087,670,1.0113383122644526,9973,559,935,2.2203268063678463,0.4554907454902393,0.010502167002414353
S_slp_odd,P_random,10000,2,1362,0.1362,1.2544483586631563,681,1.0244379334841003,9973,550,983,2.2203268063678463,0.46139060725026415,0.011485791997984052
S_slp_odd,P_random,10000,3,1527,0.1527,1.4064189748007634,764,1.3050145871338918,9973,489,1293,2.2203268063678463,0.5877578847362199,0.01149762500426732
S_slp_odd,P_random,10000,4,1331,0.1331,1.2258963035100299,666,1.0143260719357048,9973,565,923,2.2203268063678463,0.4568363850882856,0.010803625002154149
S_slp_odd,P_random,10000,5,1316,0.1316,1.2120807929520656,658,0.9539513513155149,9973,573,885,2.2203268063678463,0.42964456789856537,0.01165670799673535
S_slp_odd,P_random,10000,6,1299,0.1299,1.1964232143197062,650,0.9029460573875452,9973,581,860,2.2203268063678463,0.4066725919796656,0.010838249989319593
S_slp_odd,P_random,10000,7,1402,0.1402,1.291289720151061,701,1.1747402537330907,9973,538,1055,2.2203268063678463,0.5290843899033073,0.0112890000018524
S_slp_odd,P_random,10000,8,1284,0.1284,1.182607703761742,642,0.8860010841067255,9973,587,844,2.2203268063678463,0.39904084460255795,0.00974300000234507
S_slp_odd,P_random,10000,9,1401,0.1401,1.2903686861138632,701,1.1200001089198315,9973,534,1052,2.2203268063678463,0.5044302963454285,0.010618625005008653
S_slp_odd,P_random,100000,0,10631,0.10631,1.223939106180985,5316,1.0403862045022778,99991,4315,7661,2.443470357682056,0.4257822081742858,0.16924270799790975
S_slp_odd,P_random,100000,1,11259,0.11259,1.296240278100998,5630,1.2147426004778796,99991,4029,8985,2.443470357682056,0.4971382593854006,0.1724686660018051
S_slp_odd,P_random,100000,2,10667,0.10667,1.2280837593483742,5334,1.082919272282196,99991,4284,7698,2.443470357682056,0.4431890359862943,0.16378045800956897
S_slp_odd,P_random,100000,3,10184,0.10184,1.1724763293525682,5092,0.946282087001773,99991,4509,6791,2.443470357682056,0.38726972235482426,0.16464183299103752
S_slp_odd,P_random,100000,4,10203,0.10203,1.1746637851909125,5102,0.9199498922427076,99991,4496,6877,2.443470357682056,0.3764931665123197,0.1572903330088593
S_slp_odd,P_random,100000,5,10317,0.10317,1.1877885202209786,5159,0.9827602762498341,99991,4442,7102,2.443470357682056,0.402198566952172,0.16270600000279956
S_slp_odd,P_random,100000,6,10904,0.10904,1.2553693927003537,5452,1.1336512685342313,99989,4191,8245,2.443470357682056,0.46395130801162837,0.17370487500738818
S_slp_odd,P_random,100000,7,10837,0.10837,1.2476557326388238,5419,1.109148622226017,99991,4216,8064,2.443470357682056,0.45392350217752847,0.17034670899738558
S_slp_odd,P_random,100000,8,10112,0.10112,1.1641870230177895,5056,0.9023112693849291,99991,4544,6684,2.443470357682056,0.3692744896815064,0.16328475000045728
S_slp_odd,P_random,100000,9,10097,0.10097,1.162460084198044,5049,0.9182257066461839,99991,4551,6734,2.443470357682056,0.3757875366727339,0.15770441701170057
S_adaptive_prime,P_random,1000,0,174,0.174,1.2019494185428918,87,0.8643190648431885,997,82,110,1.9326447339160655,0.44722087286670753,0.0009501669992459938
S_adaptive_prime,P_random,1000,1,185,0.185,1.2779347266116954,93,0.9921228333379852,997,76,131,1.9326447339160655,0.5133498236521069,0.0009305419953307137
S_adaptive_prime,P_random,1000,2,191,0.191,1.319381258285588,96,1.0956359765820076,997,73,138,1.9326447339160655,0.566910181346134,0.0009153330029221252
S_adaptive_prime,P_random,1000,3,209,0.209,1.4437208533072667,105,1.1756433577994454,997,65,176,1.9326447339160655,0.6083080543299187,0.00102862500352785
S_adaptive_prime,P_random,1000,4,200,0.2,1.3815510557964275,100,1.170311187220657,997,68,155,1.9326447339160655,0.6055490523854776,0.0008942080021370202
S_adaptive_prime,P_random,1000,5,197,0.197,1.360827789959481,99,1.1372938438624645,997,70,153,1.9326447339160655,0.5884650313138499,0.0008874580089468509
S_adaptive_prime,P_random,1000,6,190,0.19,1.3124735030066061,95,0.9643702271809201,997,74,137,1.9326447339160655,0.4989899127641752,0.0008819159993436188
S_adaptive_prime,P_random,1000,7,195,0.195,1.3470122794015167,98,1.1378321292506859,997,71,149,1.9326447339160655,0.5887435539925269,0.0008799169881967828
S_adaptive_prime,P_random,1000,8,192,0.192,1.3262890135645702,96,1.1383907740421033,991,73,140,1.9326447339160655,0.5890326111490822,0.0008742499921936542
S_adaptive_prime,P_random,1000,9,185,0.185,1.2779347266116954,93,0.9622688952497711,997,76,129,1.9326447339160655,0.4979026296778052,0.0008679169986862689
S_adaptive_prime,P_random,10000,0,1250,0.125,1.151292546497023,625,0.7656757549907887,9973,605,778,2.2203268063678463,0.34484822360152034,0.010356708997278474
S_adaptive_prime,P_random,10000,1,1340,0.134,1.2341856098448087,670,1.0113383122644526,9973,559,935,2.2203268063678463,0.4554907454902393,0.010811209009261802
S_adaptive_prime,P_random,10000,2,1362,0.1362,1.2544483586631563,681,1.0244379334841003,9973,550,983,2.2203268063678463,0.46139060725026415,0.011135665990877897
S_adaptive_prime,P_random,10000,3,1527,0.1527,1.4064189748007634,764,1.3050145871338918,9973,489,1293,2.2203268063678463,0.5877578847362199,0.010959250008454546
S_adaptive_prime,P_random,10000,4,1331,0.1331,1.2258963035100299,666,1.0143260719357048,9973,565,923,2.2203268063678463,0.4568363850882856,0.00989833399944473
S_adaptive_prime,P_random,10000,5,1316,0.1316,1.2120807929520656,658,0.9539513513155149,9973,573,885,2.2203268063678463,0.42964456789856537,0.011114333989098668
S_adaptive_prime,P_random,10000,6,1299,0.1299,1.1964232143197062,650,0.9029460573875452,9973,581,860,2.2203268063678463,0.4066725919796656,0.010628541000187397
S_adaptive_prime,P_random,10000,7,1402,0.1402,1.291289720151061,701,1.1747402537330907,9973,538,1055,2.2203268063678463,0.5290843899033073,0.011097875001723878
S_adaptive_prime,P_random,10000,8,1284,0.1284,1.182607703761742,642,0.8860010841067255,9973,587,844,2.2203268063678463,0.39904084460255795,0.010898334003286436
S_adaptive_prime,P_random,10000,9,1401,0.1401,1.2903686861138632,701,1.1200001089198315,9973,534,1052,2.2203268063678463,0.5044302963454285,0.011399791008443572
S_adaptive_prime,P_random,100000,0,10631,0.10631,1.223939106180985,5316,1.0403862045022778,99991,4315,7661,2.443470357682056,0.4257822081742858,0.17453362500236835
S_adaptive_prime,P_random,100000,1,11259,0.11259,1.296240278100998,5630,1.2147426004778796,99991,4029,8985,2.443470357682056,0.4971382593854006,0.16816166699572932
S_adaptive_prime,P_random,100000,2,10667,0.10667,1.2280837593483742,5334,1.082919272282196,99991,4284,7698,2.443470357682056,0.4431890359862943,0.16771712500485592
