move,player,x,killed_now,top_live
16960,S,93923,9,142797
17024,S,94343,9,142605
17088,S,94777,9,142413
17152,S,95153,9,142221
17216,S,95569,9,142029
17280,S,95987,9,141837
17344,S,96451,9,141645
17408,S,96847,9,141453
17472,S,97301,9,141261
17536,S,97771,9,141069
17600,S,98207,9,140877
17664,S,98597,9,140685
17728,S,99013,9,140493
17792,S,99487,9,140301
17856,S,99881,9,140109
17920,S,100333,8,139917
17984,S,100741,8,139725
18048,S,101197,8,139533
18112,S,101599,8,139341
18176,S,102019,8,139149
18240,S,102409,8,138957
18304,S,102871,8,138765
18368,S,103319,8,138573
18432,S,103801,8,138381
18496,S,104123,8,138189
18560,S,104561,8,137997
18624,S,104999,8,137805
18688,S,105467,8,137613
18752,S,105913,8,137421
18816,S,106297,8,137229
18880,S,106721,8,137037
18944,S,107183,8,136845
19008,S,107687,8,136653
19072,S,108109,8,136461
19136,S,108517,8,136269
19200,S,108929,8,136077
19264,S,109379,8,135885
19328,S,109807,8,135693
19392,S,110261,8,135501
19456,S,110641,8,135309
19520,S,111091,8,135117
19584,S,111533,7,134955
19648,S,111953,7,134795
19712,S,112361,7,134635
19776,S,112843,7,134475
19840,S,113209,7,134315
19904,S,113731,7,134155
19968,S,114193,7,133995
20032,S,114643,7,133835
20096,S,115099,7,133675
20160,S,115561,7,133515
20224,S,115933,7,133355
20288,S,116387,7,133195
20352,S,116849,7,133035
20416,S,117259,7,132875
20480,S,117703,7,132715
20544,S,118061,7,132555
20608,S,118571,7,132395
20672,S,119039,7,132235
20736,S,119513,7,132075
20800,S,119881,7,131915
20864,S,120319,7,131755
20928,S,120749,7,131595
20992,S,121139,7,131435
21056,S,121547,7,131275
21120,S,121967,7,131115
21184,S,122389,7,130955
21248,S,122839,7,130795
21312,S,123311,7,130635
21376,S,123719,7,130475
21440,S,124139,7,130315
21504,S,124567,7,130155
21568,S,125003,6,129995
21632,S,125471,6,129835
21696,S,125941,6,129675
21760,S,126337,6,129515
21824,S,126781,6,129355
21888,S,127271,6,129195
21952,S,127679,6,129035
22016,S,128159,6,128875
22080,S,128551,6,128715
22144,S,128959,6,128555
22208,S,129401,6,128395
22272,S,129841,6,128235
22336,S,130279,6,128075
22400,S,130687,6,127915
22464,S,131203,6,127755
22528,S,131641,6,127595
22592,S,132109,6,127435
22656,S,132523,6,127275
22720,S,132947,6,127115
22784,S,133327,6,126955
22848,S,133831,6,126795
22912,S,134227,6,126635
22976,S,134699,6,126475
23040,S,135193,6,126315
23104,S,135613,6,126155
23168,S,136069,6,125995
23232,S,136463,6,125835
23296,S,136861,6,125675
23360,S,137353,6,125515
23424,S,137777,6,125355
23488,S,138247,6,125195
23552,S,138641,6,125035
23616,S,139177,6,124875
23680,S,139591,6,124715
23744,S,139999,6,124555
23808,S,140449,6,124395
23872,S,140867,6,124235
23936,S,141319,6,124075
24000,S,141761,6,123915
24064,S,142183,6,123755
24128,S,142697,6,123595
24192,S,143137,5,123455
24256,S,143569,5,123327
24320,S,144013,5,123199
24384,S,144479,5,123071
24448,S,144967,5,122943
24512,S,145477,5,122815
24576,S,145903,5,122687
24640,S,146369,5,122559
24704,S,146819,5,122431
24768,S,147253,5,122303
24832,S,147709,5,122175
24896,S,148171,5,122047
24960,S,148669,5,121919
25024,S,149077,5,121791
25088,S,149519,5,121663
25152,S,149911,5,121535
25216,S,150379,5,121407
25280,S,150881,5,121279
25344,S,151273,5,121151
25408,S,151681,5,121023
25472,S,152189,5,120895
25536,S,152617,5,120767
25600,S,153067,5,120639
25664,S,153521,5,120511
25728,S,154027,5,120383
25792,S,154487,5,120255
25856,S,154877,5,120127
25920,S,155333,5,119999
25984,S,155731,5,119871
26048,S,156253,5,119743
26112,S,156733,5,119615
26176,S,157217,5,119487
26240,S,157637,5,119359
26304,S,158129,5,119231
26368,S,158563,5,119103
26432,S,159023,5,118975
26496,S,159463,5,118847
26560,S,159899,5,118719
26624,S,160367,5,118591
26688,S,160807,5,118463
26752,S,161237,5,118335
26816,S,161717,5,118207
26880,S,162229,5,118079
26944,S,162649,5,117951
27008,S,163109,5,117823
27072,S,163601,5,117695
27136,S,164011,5,117567
27200,S,164447,5,117439
27264,S,164953,5,117311
27328,S,165437,5,117183
27392,S,165877,5,117055
27456,S,166351,5,116927
27520,S,166841,4,116799
27584,S,167261,4,116671
27648,S,167711,4,116543
27712,S,168211,4,116415
27776,S,168697,4,116287
27840,S,169151,4,116159
27904,S,169627,4,116031
27968,S,170057,4,115903
28032,S,170497,4,115775
28096,S,170887,4,115647
28160,S,171401,4,115519
28224,S,171823,4,115391
28288,S,172297,4,115263
28352,S,172717,4,115135
28416,S,173189,4,115007
28480,S,173669,4,114879
28544,S,174121,4,114751
28608,S,174533,4,114623
28672,S,175003,4,114495
28736,S,175543,4,114367
28800,S,175991,4,114239
28864,S,176431,4,114111
28928,S,176887,4,113983
28992,S,177323,4,113855
29056,S,177841,4,113727
29120,S,178301,4,113599
29184,S,178753,4,113471
29248,S,179167,4,113343
29312,S,179633,4,113215
29376,S,180071,4,113087
29440,S,180547,4,112959
29504,S,181141,4,112831
29568,S,181607,4,112703
29632,S,182029,4,112575
29696,S,182467,4,112447
29760,S,182893,4,112319
29824,S,183389,4,112191
29888,S,183881,4,112063
29952,S,184333,4,111935
30016,S,184831,4,111807
30080,S,185233,4,111679
30144,S,185707,4,111551
30208,S,186119,4,111423
30272,S,186619,4,111295
30336,S,187069,4,111167
30400,S,187513,4,111039
30464,S,187973,4,110911
30528,S,188443,4,110783
30592,S,188933,4,110655
30656,S,189407,4,110527
30720,S,189913,4,110399
30784,S,190357,4,110271
30848,S,190807,4,110143
30912,S,191251,4,110015
30976,S,191699,4,109887
31040,S,192229,4,109759
31104,S,192737,4,109631
31168,S,193133,4,109503
31232,S,193601,4,109375
31296,S,194057,4,109247
31360,S,194591,4,109119
31424,S,195047,4,108991
31488,S,195493,4,108863
31552,S,195931,4,108735
31616,S,196453,4,108607
31680,S,196901,4,108479
31744,S,197339,4,108351
31808,S,197807,4,108223
31872,S,198257,4,108095
31936,S,198701,4,107967
32000,S,199207,4,107839
32064,S,199697,4,107711
32128,S,200171,3,107595
32192,S,200657,3,107499
32256,S,201119,3,107403
32320,S,201599,3,107307
32384,S,202001,3,107211
32448,S,202549,3,107115
32512,S,202987,3,107019
32576,S,203419,3,106923
32640,S,203921,3,106827
32704,S,204427,3,106731
32768,S,204887,3,106635
32832,S,205357,3,106539
32896,S,205883,3,106443
32960,S,206273,3,106347
33024,S,206803,3,106251
33088,S,207241,3,106155
33152,S,207673,3,106059
33216,S,208141,3,105963
33280,S,208589,3,105867
33344,S,209089,3,105771
33408,S,209543,3,105675
33472,S,210011,3,105579
33536,S,210437,3,105483
33600,S,210901,3,105387
33664,S,211369,3,105291
33728,S,211817,3,105195
33792,S,212353,3,105099
33856,S,212869,3,105003
33920,S,213337,3,104907
33984,S,213833,3,104811
34048,S,214237,3,104715
34112,S,214657,3,104619
34176,S,215179,3,104523
34240,S,215681,3,104427
34304,S,216157,3,104331
34368,S,216703,3,104235
34432,S,217199,3,104139
34496,S,217661,3,104043
34560,S,218111,3,103947
34624,S,218611,3,103851
34688,S,219001,3,103755
34752,S,219503,3,103659
34816,S,219911,3,103563
34880,S,220369,3,103467
34944,S,220873,3,103371
35008,S,221311,3,103275
35072,S,221827,3,103179
35136,S,222317,3,103083
35200,S,222799,3,102987
35264,S,223247,3,102891
35328,S,223711,3,102795
35392,S,224197,3,102699
35456,S,224669,3,102603
35520,S,225133,3,102507
35584,S,225613,3,102411
35648,S,226087,3,102315
35712,S,226601,3,102219
35776,S,227111,3,102123
35840,S,227561,3,102027
35904,S,228077,3,101931
35968,S,228539,3,101835
36032,S,228983,3,101739
36096,S,229487,3,101643
36160,S,229897,3,101547
36224,S,230353,3,101451
36288,S,230807,3,101355
36352,S,231317,3,101259
36416,S,231779,3,101163
36480,S,232307,3,101067
36544,S,232711,3,100971
36608,S,233231,3,100875
36672,S,233759,3,100779
36736,S,234271,3,100683
36800,S,234733,3,100587
36864,S,235177,3,100491
36928,S,235723,3,100395
36992,S,236231,3,100299
37056,S,236713,3,100203
37120,S,237173,3,100107
37184,S,237737,3,100011
37248,S,238181,3,99915
37312,S,238657,3,99819
37376,S,239087,3,99723
37440,S,239587,3,99627
37504,S,240049,3,99531
37568,S,240571,3,99435
37632,S,241013,3,99339
37696,S,241469,3,99243
37760,S,241939,3,99147
37824,S,242419,3,99051
37888,S,242863,3,98955
37952,S,243403,3,98859
38016,S,243857,3,98763
38080,S,244333,3,98667
38144,S,244781,3,98571
38208,S,245279,3,98475
38272,S,245753,3,98379
38336,S,246209,3,98283
38400,S,246731,3,98187
38464,S,247201,3,98091
38528,S,247649,3,97995
38592,S,248089,3,97899
38656,S,248579,3,97803
38720,S,249059,3,97707
38784,S,249517,3,97611
38848,S,250013,2,97515
38912,S,250619,2,97419
38976,S,251033,2,97323
39040,S,251473,2,97227
39104,S,251939,2,97131
39168,S,252431,2,97035
39232,S,252971,2,96939
39296,S,253447,2,96843
39360,S,253871,2,96747
39424,S,254383,2,96651
39488,S,254911,2,96555
39552,S,255349,2,96459
39616,S,255803,2,96363
39680,S,256211,2,96267
39744,S,256801,2,96171
39808,S,257281,2,96075
39872,S,257731,2,95979
39936,S,258253,2,95883
40000,S,258703,2,95787
40064,S,259201,2,95691
40128,S,259643,2,95595
40192,S,260209,2,95499
40256,S,260747,2,95403
40320,S,261241,2,95307
40384,S,261713,2,95211
40448,S,262231,2,95115
40512,S,262723,2,95019
40576,S,263227,2,94923
40640,S,263723,2,94827
40704,S,264139,2,94731
40768,S,264743,2,94635
40832,S,265169,2,94539
40896,S,265711,2,94443
40960,S,266137,2,94347
41024,S,266663,2,94251
41088,S,267133,2,94155
41152,S,267523,2,94059
41216,S,267961,2,93963
41280,S,268529,2,93867
41344,S,268973,2,93771
41408,S,269419,2,93675
41472,S,269947,2,93579
41536,S,270379,2,93483
41600,S,270841,2,93387
41664,S,271367,2,93291
41728,S,271861,2,93195
41792,S,272341,2,93099
41856,S,272771,2,93003
41920,S,273269,2,92907
41984,S,273821,2,92811
42048,S,274237,2,92715
42112,S,274777,2,92619
42176,S,275269,2,92523
42240,S,275711,2,92427
42304,S,276191,2,92331
42368,S,276739,2,92235
42432,S,277217,2,92139
42496,S,277687,2,92043
42560,S,278209,2,91947
42624,S,278687,2,91851
42688,S,279143,2,91755
42752,S,279649,2,91659
42816,S,280139,2,91563
42880,S,280627,2,91467
42944,S,281069,2,91371
43008,S,281563,2,91275
43072,S,281993,2,91179
43136,S,282461,2,91083
43200,S,282977,2,90987
