move,player,x,killed_now,top_live
44288,S,298238,5,694006
44352,S,298978,5,693942
44416,S,299722,5,693878
44480,S,300422,5,693814
44544,S,301174,5,693750
44608,S,301978,5,693686
44672,S,302714,5,693622
44736,S,303346,5,693558
44800,S,304078,5,693494
44864,S,304846,5,693430
44928,S,305638,5,693366
44992,S,306382,5,693302
45056,S,307066,5,693238
45120,S,307994,5,693174
45184,S,308678,5,693110
45248,S,309494,5,693046
45312,S,310306,5,692982
45376,S,311042,5,692918
45440,S,311642,5,692854
45504,S,293932,5,692794
45568,S,292244,5,692762
45632,S,287948,5,692730
45696,S,286652,5,692698
45760,S,285332,5,692666
45824,S,283924,5,692634
45888,S,282508,5,692602
45952,S,281156,5,692570
46016,S,279964,5,692538
46080,S,278612,5,692506
46144,S,276932,5,692474
46208,S,275516,5,692442
46272,S,273964,5,692410
46336,S,272284,5,692378
46400,S,271004,5,692346
46464,S,269684,5,692314
46528,S,268292,5,692282
46592,S,266932,5,692250
46656,S,265492,5,692218
46720,S,263828,5,692186
46784,S,262516,5,692154
46848,S,261172,5,692122
46912,S,259804,5,692090
46976,S,258364,5,692058
47040,S,256628,5,692026
47104,S,255092,5,691994
47168,S,289924,5,691962
47232,S,288404,5,691930
47296,S,322523,5,691886
47360,S,322093,5,691790
47424,S,321721,5,691694
47488,S,321323,5,691598
47552,S,320911,5,691502
47616,S,320477,5,691406
47680,S,320083,5,691310
47744,S,319727,5,691214
47808,S,319357,5,691118
47872,S,318979,5,691022
47936,S,318601,5,690926
48000,S,318229,5,690830
48064,S,317797,5,690734
48128,S,317453,5,690638
48192,S,317047,5,690542
48256,S,316691,5,690446
48320,S,316291,5,690350
48384,S,315893,5,690254
48448,S,315517,5,690158
48512,S,315067,5,690062
48576,S,314623,5,689966
48640,S,314233,5,689870
48704,S,313889,5,689774
48768,S,313543,5,689678
48832,S,313127,5,689582
48896,S,312701,5,689486
48960,S,344653,5,689390
49024,S,344231,5,689294
49088,S,343817,5,689198
49152,S,343411,5,689102
49216,S,343051,5,689006
49280,S,342569,5,688910
49344,S,342197,5,688814
49408,S,341777,5,688718
49472,S,341347,5,688622
49536,S,340939,5,688526
49600,S,340601,5,688430
49664,S,340169,5,688334
49728,S,339751,5,688238
49792,S,339263,5,688142
49856,S,338791,5,688046
49920,S,338383,5,687950
49984,S,338027,5,687854
50048,S,337639,5,687758
50112,S,337261,5,687662
50176,S,336827,5,687566
50240,S,336503,5,687470
50304,S,336101,5,687374
50368,S,335641,5,687278
50432,S,335173,5,687182
50496,S,334787,5,687086
50560,S,334423,5,686990
50624,S,333997,5,686894
50688,S,333563,5,686798
50752,S,333209,5,686702
50816,S,332779,5,686606
50880,S,332303,5,686510
50944,S,331921,5,686414
51008,S,331537,5,686318
51072,S,331153,5,686222
51136,S,330719,5,686126
51200,S,330311,5,686030
51264,S,329951,5,685934
51328,S,329557,5,685838
51392,S,329167,5,685742
51456,S,328709,5,685646
51520,S,328283,5,685550
51584,S,327853,5,685454
51648,S,327499,5,685358
51712,S,327163,5,685262
51776,S,326693,5,685166
51840,S,326251,5,685070
51904,S,325877,5,684974
51968,S,325487,5,684878
52032,S,325079,5,684782
52096,S,324757,5,684686
52160,S,324403,5,684590
