N,T,edge_count,h,max_closed_edges,max_normalized_captured_boundary,max_normalized_captured_boundary_over_edges_per_h,max_useful_top_facets,max_useful_top_facets_over_edges,max_useful_top_facets_over_edges_per_h,max_useful_top_facets_turn,policy
9,13,84,3,18,9.333333333333334,0.33333333333333337,20,0.23809523809523808,0.7142857142857143,25,simplex_star_cascade
9,13,84,3,17,10.0,0.35714285714285715,21,0.25,0.75,25,smallest_neighborhood
9,10,84,3,29,11.666666666666666,0.41666666666666663,26,0.30952380952380953,0.9285714285714286,19,highest_degree_vertex
9,14,84,3,14,10.333333333333332,0.369047619047619,22,0.2619047619047619,0.7857142857142857,27,max_claimed_overlap
9,14,84,3,15,10.333333333333332,0.369047619047619,22,0.2619047619047619,0.7857142857142857,27,lookahead1
9,11,84,3,25,11.333333333333334,0.40476190476190477,25,0.2976190476190476,0.8928571428571429,21,shadow_pressure
10,17,120,3,24,11.333333333333334,0.2833333333333333,25,0.20833333333333334,0.625,33,simplex_star_cascade
10,17,120,3,23,12.333333333333334,0.30833333333333335,27,0.225,0.675,35,smallest_neighborhood
10,13,120,3,42,14.0,0.35,32,0.26666666666666666,0.8,27,highest_degree_vertex
10,17,120,3,21,12.0,0.3,26,0.21666666666666667,0.65,33,max_claimed_overlap
10,17,120,3,21,12.333333333333334,0.30833333333333335,27,0.225,0.675,35,lookahead1
10,13,120,3,35,14.0,0.35,32,0.26666666666666666,0.8,25,shadow_pressure
11,20,165,3,31,13.333333333333334,0.24242424242424243,30,0.18181818181818182,0.5454545454545454,41,simplex_star_cascade
11,21,165,3,28,14.333333333333332,0.26060606060606056,32,0.19393939393939394,0.5818181818181818,41,smallest_neighborhood
11,15,165,3,61,17.0,0.3090909090909091,40,0.24242424242424243,0.7272727272727273,31,highest_degree_vertex
11,21,165,3,27,14.0,0.2545454545454545,31,0.18787878787878787,0.5636363636363636,41,max_claimed_overlap
11,21,165,3,23,15.0,0.2727272727272727,34,0.20606060606060606,0.6181818181818182,43,lookahead1
11,16,165,3,51,16.666666666666668,0.30303030303030304,39,0.23636363636363636,0.7090909090909091,31,shadow_pressure
12,25,220,3,45,15.666666666666666,0.21363636363636365,36,0.16363636363636364,0.49090909090909096,51,simplex_star_cascade
12,24,220,3,48,18.0,0.24545454545454548,42,0.19090909090909092,0.5727272727272728,47,smallest_neighborhood
12,18,220,3,81,20.0,0.27272727272727276,48,0.21818181818181817,0.6545454545454545,37,highest_degree_vertex
12,26,220,3,38,16.333333333333336,0.22272727272727277,37,0.16818181818181818,0.5045454545454546,51,max_claimed_overlap
12,27,220,3,39,17.0,0.23181818181818184,39,0.17727272727272728,0.5318181818181819,55,lookahead1
12,19,220,3,69,19.666666666666664,0.2681818181818182,47,0.21363636363636362,0.640909090909091,37,shadow_pressure
5,2,5,4,2,4.5,3.6,7,1.4,5.6,3,simplex_star_cascade
