occ_0,occ_1,occ_2,occ_3,occ_4,occ_5,occ_6,profile_normalized,profile_unnormalized,profile_normalized_rational,profile_unnormalized_rational
0,1,2,0,0,0,0,9.390009832778812e-12,5.274045528667344e-12,52740455286673442927/5616656023358584014393960030942,52740455286673442927/10000000000000000000000000000000
0,2,0,0,0,0,1,0.057325803558868814,0.03219793198527915,107326439950930489517752197449/1872218674452861338131320010314,321979319852791468553256592347/10000000000000000000000000000000
0,2,0,0,0,1,0,0.0,0.0,0,0
0,2,0,0,1,0,0,4.849751501311834e-06,2.7239385981635446e-06,27239385981635447463051721/5616656023358584014393960030942,27239385981635447463051721/10000000000000000000000000000000
0,2,0,1,0,0,0,0.0,0.0,0,0
0,2,1,0,0,0,0,3.257659016657697e-11,1.8297150137958857e-11,365943002759177102425/11233312046717168028787920061884,14637720110367084097/800000000000000000000000000000
0,3,0,0,0,0,0,0.0,0.0,0,0
1,0,0,0,0,0,2,0.01220239805614831,0.006853667254148448,68536672541484482420220413251/5616656023358584014393960030942,68536672541484482420220413251/10000000000000000000000000000000
1,0,0,0,0,1,1,0.001704822387736622,0.0009575400932837462,1063933436981940202748491225/624072891484287112710440003438,383016037313498472989456841/400000000000000000000000000000
1,0,0,0,0,2,0,1.337813844420392e-05,7.5140401873962985e-06,150280803747925967243102405/11233312046717168028787920061884,30056160749585193448620481/4000000000000000000000000000000
1,0,0,0,1,0,1,0.00177661163145556,0.000997861642098379,19957232841967581790699006039/11233312046717168028787920061884,19957232841967581790699006039/20000000000000000000000000000000
1,0,0,0,1,1,0,8.895167111520656e-05,4.9961093935703676e-05,499610939357036732544913325/5616656023358584014393960030942,19984437574281469301796533/400000000000000000000000000000
1,0,0,0,2,0,0,0.005890844851172029,0.0033086849216006275,16543424608003138410818437333/2808328011679292007196980015471,16543424608003138410818437333/5000000000000000000000000000000
1,0,0,1,0,0,1,0.0020134052176299638,0.0011308604543062938,628255807947940939548201188/312036445742143556355220001719,1413575567882867113983452673/1250000000000000000000000000000
1,0,0,1,0,1,0,2.7064771177357328e-05,1.5201351005412584e-05,101342340036083894009749565/3744437348905722676262640020628,60805404021650336405849739/4000000000000000000000000000000
1,0,0,1,1,0,0,0.004260407440190263,0.002392924311090636,47858486221812725301067615357/11233312046717168028787920061884,47858486221812725301067615357/20000000000000000000000000000000
1,0,0,2,0,0,0,4.675730817135715e-12,2.626197165766867e-12,26261971657668667837/5616656023358584014393960030942,26261971657668667837/10000000000000000000000000000000
1,0,1,0,0,0,1,4.710964248734401e-10,2.6459865723481015e-10,5291973144696203413105/11233312046717168028787920061884,1058394628939240682621/4000000000000000000000000000000
1,0,1,0,0,1,0,0.0001285547735845138,7.220479433849583e-05,481365295589972253468326521/3744437348905722676262640020628,1444095886769916760404979563/20000000000000000000000000000000
1,0,1,0,1,0,0,1.4733394883216339e-05,8.275241111533758e-06,165504822230675180642443123/11233312046717168028787920061884,165504822230675180642443123/20000000000000000000000000000000
1,0,1,1,0,0,0,6.599408958731699e-11,3.7066610078667e-11,185333050393334985569/2808328011679292007196980015471,185333050393334985569/5000000000000000000000000000000
